,green_space,pharmacies,education,groceries,perc_pop_white,perc_pop_black,perc_pop_asiapacific,perc_pop_hispanic,perc_pop_indig,perc_pop_otherrace,perc_pop_poverty,perc_hhld_total_w_chld,perc_hhld_single_mother,perc_hhld_nocar,workers_all,urban,equity,C000,scores,disparity
5195,0.01800277271,1,0,1,0.775562938353636,0.048726467331118496,0.0339608711701735,0.12218530823181986,0.0,0.019564414913252122,0.04798818752307124,0.5083986562150056,0.05263157894736842,0.0033594624860022394,1402.0,0,0,68,0.833,0.14294175715695956
5196,0.3235363595,2,0,2,0.8454935622317596,0.0,0.017167381974248927,0.12875536480686695,0.0,0.008583690987124463,0.03740036787247088,0.3531669865642994,0.0710172744721689,0.013435700575815739,760.0,0,1,3088,2.125,0.28685912029869776
5197,0.04643905671,0,0,1,0.7917620137299771,0.05205949656750572,0.07665903890160183,0.04576659038901602,0.0,0.033752860411899316,0.06292906178489703,0.2891705069124424,0.06797235023041474,0.01728110599078341,1173.0,0,0,185,2.5,0.0
5198,6.799503911,0,0,0,0.8089456869009585,0.05623003194888179,0.03258785942492013,0.09456869009584665,0.0,0.0076677316293929714,0.014057507987220448,0.2732342007434944,0.06319702602230483,0.0,842.0,0,0,148,2.5,0.4656084656084656
5199,1.640984266,1,0,1,0.42321755027422303,0.14716636197440586,0.0,0.40676416819012795,0.0,0.022851919561243144,0.10968921389396709,0.41362530413625304,0.20437956204379562,0.06569343065693431,507.0,0,0,1114,3.542,0.0
5200,4.97088758,1,0,2,0.6511545293072825,0.035879218472468916,0.21953818827708704,0.05577264653641208,0.0,0.037655417406749554,0.08454706927175844,0.4474789915966387,0.04831932773109244,0.007352941176470588,1584.0,0,0,3941,2.5,0.0
5201,0.06010889455,0,0,2,0.18636003172085647,0.16732751784298175,0.05313243457573354,0.5543219666931007,0.0,0.03885804916732752,0.18398096748612214,0.44419642857142855,0.11160714285714286,0.12053571428571429,574.0,0,1,129,3.833,0.0
5202,0.47487026109999997,1,0,1,0.8280116110304789,0.0,0.009796806966618287,0.1600145137880987,0.0,0.0021770682148040637,0.0,0.5292056074766355,0.08060747663551401,0.014018691588785047,1407.0,0,0,1025,0.0,0.10658578856152512
5203,0.10915432900000001,3,0,3,0.7749869178440607,0.011512297226582941,0.13971742543171115,0.05599162742019885,0.0,0.017791732077446363,0.03663003663003663,0.27037037037037037,0.03333333333333333,0.056790123456790124,1203.0,0,0,1301,0.0,0.0
5204,0.09849408892999999,2,0,3,0.6815358554488989,0.0,0.20327498588368154,0.04121964991530209,0.0,0.07396950875211744,0.0,0.5336391437308868,0.0581039755351682,0.0061162079510703364,805.0,0,0,729,2.5,0.045477494271622176
5205,0.1759507484,0,0,0,0.6920384951881015,0.0,0.12073490813648294,0.13035870516185477,0.0,0.0568678915135608,0.022747156605424323,0.4792243767313019,0.06925207756232687,0.002770083102493075,640.0,0,0,574,2.292,0.571912013536379
5206,0.07005218967,0,1,0,0.9095840867992767,0.0,0.022151898734177215,0.060126582278481014,0.0,0.0081374321880651,0.03345388788426763,0.41309823677581864,0.041561712846347604,0.09949622166246852,1272.0,0,0,1677,1.167,0.0
5207,0.6250807492,0,0,0,0.6922094508301405,0.0,0.1826309067688378,0.1251596424010217,0.0,0.0,0.10153256704980843,0.32827586206896553,0.05379310344827586,0.06758620689655172,677.0,0,0,133,0.0,0.0
5208,0.300772569,1,0,2,0.7036844836533471,0.009859885832900882,0.06123508043591074,0.20653866113129216,0.0031136481577581734,0.015568240788790867,0.04618578100674624,0.3175775480059084,0.022156573116691284,0.026587887740029542,1191.0,0,0,429,0.0,0.2089081592432006
5209,0.17949921929999998,0,0,0,0.9764285714285714,0.014285714285714285,0.004285714285714286,0.005,0.0,0.0,0.04857142857142857,0.341796875,0.048828125,0.052734375,592.0,0,0,302,7.792000000000001,0.8026266513423815
5210,3.1689325260000003,0,0,0,0.8164642375168691,0.0,0.05668016194331984,0.07827260458839407,0.033738191632928474,0.014844804318488529,0.04993252361673414,0.3189792663476874,0.10207336523125997,0.05422647527910686,767.0,0,0,137,0.75,0.6161388844237261
5211,0.1269261336,0,0,0,0.9410071942446043,0.0,0.011510791366906475,0.0,0.0,0.04748201438848921,0.13525179856115108,0.2342007434944238,0.0,0.01486988847583643,250.0,0,0,38,2.042,0.9681488669444603
5212,0.21882963760000002,0,0,0,0.768595041322314,0.015026296018031555,0.1893313298271976,0.011269722013523666,0.0,0.015777610818933134,0.011269722013523666,0.4701834862385321,0.011467889908256881,0.06192660550458716,724.0,0,0,29,0.0,0.9701475723780556
5213,0.1304453013,0,0,0,0.34169969176574194,0.14971378247468076,0.010568031704095112,0.4372523117569353,0.0,0.0607661822985469,0.04095112285336856,0.45548387096774196,0.06193548387096774,0.05161290322580645,1078.0,0,1,52,3.208,0.19586970406642534
5214,2.9270214489999997,0,0,0,0.851823118696664,0.019394879751745538,0.012412723041117145,0.10395655546935609,0.0,0.012412723041117145,0.02094647013188518,0.4429530201342282,0.06935123042505593,0.04697986577181208,563.0,0,0,89,1.167,0.0
5215,0.0,0,0,0,0.10205391527599486,0.26700898587933247,0.0012836970474967907,0.5680359435173299,0.0,0.06161745827984596,0.12836970474967907,0.3148148148148148,0.10555555555555556,0.21666666666666667,481.0,0,1,13,1.625,0.5543068655651437
5216,0.17990312809999998,1,0,2,0.8533046749059645,0.005910800644814616,0.018807092960773777,0.0800644814615798,0.0,0.04191295002686728,0.08328855454056959,0.4165316045380875,0.04051863857374392,0.055105348460291734,754.0,0,0,2114,0.0,0.07431900488112109
