,BG_ID,GR_AC,HO,PH,UC,ED,GO,POP_TOTAL,WH,BL,AS,HI,IN,OR,PO,HHLD_TOTAL,CH,SM,NC,WORKERS_ALL,WORKERS_ESSENTIAL,ER,UR,EQ,JO,FARE_NO,FARE_YES,DISPARITY,P_WH,P_BL,P_AS,P_HI,P_IN,P_OR,AREA_KM2,DENSITY,GR_M2,CE01,SC00,SC01,SC02,SC03,SC04,SC05,SC06,SC07,SC08,SC09
3884,170318285032,0.016594247240000002,0,1,0,0,4,1240,62,914,0,264,0,0,301,330,178,98,18,620.0,377.0,1,1,1,338,8781.0,8651.0,1.0150271640000001,0.05,0.7370967742,0.0,0.21290322579999998,0.0,0.0,1.2009999999999998,1032.472939,67.1545954,78,1.5416666666666667,1.5416666666666667,4023.0,8781.0,23782.0,18797.112,648.5,2042.0,5155.5,4448.226
3885,170318061022,0.145513885,0,1,0,0,0,748,613,0,65,64,0,6,5,300,69,0,3,608.0,293.0,1,1,0,141,75800.0,43961.5,1.7242359790000001,0.8195187166,0.0,0.08689839572000001,0.08556149732999999,0.0,0.008021390374000001,0.603,1240.4643449999999,588.8743208,17,3.0,3.0,15076.5,75800.0,157809.0,144137.793,3330.0,14129.5,29728.5,28683.682
3886,170318061033,0.08630216174000001,0,1,0,0,0,1136,968,10,81,64,13,0,9,430,153,44,7,697.0,346.0,1,1,1,439,101309.0,48431.5,2.091799758,0.8521126761,0.008802816901,0.07130281690000001,0.056338028170000005,0.01144366197,0.0,0.741,1533.063428,349.2527662,77,7.958333333333332,7.958333333333332,19555.0,101309.0,272659.5,359814.891,3280.0,21989.0,55998.5,68908.425
3887,170311911006,0.0,0,0,0,0,1,1088,63,35,0,982,0,8,96,289,157,36,24,278.0,154.0,1,1,1,63,157900.0,142800.0,1.105742297,0.057904411759999996,0.03216911765,0.0,0.9025735294,0.0,0.007352941176,0.11699999999999999,9299.145299,0.0,12,19.58333333333333,19.58333333333333,31245.0,157900.0,907234.0,463097.984,8793.5,39626.5,155867.0,87874.96800000001
3888,170311911005,0.048724710430000005,0,0,0,0,0,1816,74,25,139,1564,0,14,514,508,256,89,43,657.0,368.0,1,1,1,214,101312.5,93743.0,1.080747362,0.04074889868,0.013766519819999998,0.07654185022000001,0.8612334802,0.0,0.007709251101,0.207,8772.94686,197.18208159999998,136,13.125,13.125,29210.0,101312.5,695443.0,403031.364,8671.0,27732.0,118722.0,77389.41
3889,170311908005,0.0,0,0,0,0,0,1038,138,0,0,900,0,0,278,316,112,74,41,483.0,277.0,1,1,1,71,116292.0,97753.5,1.189645384,0.1329479769,0.0,0.0,0.8670520231000001,0.0,0.0,0.12300000000000001,8439.02439,0.0,14,8.541666666666666,8.541666666666666,30850.5,116292.0,972495.0,452879.763,9148.5,32537.5,170076.0,85522.54800000001
3890,170318315001,0.0,0,4,0,0,9,2410,911,14,132,1326,0,27,200,772,282,89,120,1258.0,678.0,1,1,1,1911,105799.0,92248.5,1.146891277,0.37800829880000003,0.005809128631,0.054771784229999995,0.5502074689,0.0,0.0112033195,0.6729999999999999,3580.9806840000006,0.0,811,40.958333333333336,40.958333333333336,29093.5,105799.0,334778.5,392834.362,9722.5,31781.5,81735.0,77069.276
3891,170311904012,0.004183065589,0,0,0,0,1,2613,674,0,68,1871,0,0,557,711,329,75,24,1147.0,632.0,1,1,1,102,104867.5,92673.0,1.13158633,0.2579410639,0.0,0.026023727519999998,0.7160352086,0.0,0.0,0.32799999999999996,7966.463415,16.92828081,33,19.166666666666668,19.166666666666668,30605.5,104867.5,499791.0,401856.606,10264.5,31169.5,96120.0,78169.506
3892,170311902003,0.0,0,0,0,0,1,1799,255,31,57,1426,0,30,133,448,248,57,61,666.0,352.0,1,1,1,31,114997.0,99712.5,1.153285696,0.1417454141,0.01723179544,0.03168426904,0.7926625903,0.0,0.016675931069999997,0.165,10903.0303,0.0,11,13.375,13.375,35714.5,114997.0,871815.0,445741.831,10793.0,31939.5,147912.0,85399.94699999999
3893,170311901001,0.0,0,2,0,0,3,2606,244,36,63,2253,0,10,596,829,321,109,225,990.0,531.0,1,1,1,4326,119264.5,104615.0,1.1400325,0.09363008442,0.013814274750000001,0.024174980809999996,0.8645433615000001,0.0,0.003837298542,0.317,8220.820189,0.0,2374,30.33333333333333,30.33333333333333,32232.5,119264.5,814622.5,441760.661,9674.5,33684.0,140424.5,85006.79
3894,170318316005,0.0,0,0,0,0,1,1105,255,60,0,718,0,72,0,342,143,40,64,488.0,269.0,1,1,1,305,99895.5,96061.5,1.039911931,0.23076923079999997,0.054298642529999996,0.0,0.6497737557,0.0,0.06515837104,0.16399999999999998,6737.804878,0.0,42,14.416666666666664,14.416666666666664,16400.5,99895.5,282542.0,362043.045,5076.5,29421.0,67870.0,70644.921
3895,170311711003,0.0008840733968999999,0,0,0,0,0,1274,607,64,106,497,0,0,61,410,129,0,35,581.0,306.0,1,1,1,12,103989.5,90671.0,1.1468882,0.4764521193,0.05023547881,0.08320251177,0.39010989009999997,0.0,0.0,0.171,7450.2923980000005,3.577721267,5,25.0,25.0,27076.5,103989.5,367643.0,399853.309,8478.5,30369.0,88700.5,78028.898
3896,170311710006,0.0,0,0,0,0,1,1484,955,20,34,475,0,0,18,485,151,0,36,540.0,281.0,1,1,1,325,96061.0,76869.0,1.249671519,0.6435309973,0.01347708895,0.02291105121,0.3200808625,0.0,0.0,0.249,5959.839357,0.0,105,25.75,25.75,22366.5,96061.0,328025.0,379539.883,7879.0,28312.0,75977.0,73061.37299999999
3897,170311709001,0.0,0,0,0,0,0,1881,951,79,54,797,0,0,126,660,180,21,43,940.0,476.0,1,1,1,88,121622.0,113489.5,1.071658612,0.5055821372,0.04199893674,0.028708133969999997,0.4237107921,0.0,0.0,0.321,5859.813084,0.0,34,17.916666666666668,17.916666666666668,29698.0,121622.0,392670.0,392277.789,10037.0,33132.5,83355.5,75752.44099999999
3898,170311707002,0.0,0,0,0,0,0,903,685,0,0,218,0,0,52,325,84,0,21,466.0,231.0,1,1,1,33,104787.0,95827.0,1.093501831,0.7585825028000001,0.0,0.0,0.2414174972,0.0,0.0,0.154,5863.636364,0.0,17,10.583333333333334,10.583333333333334,17395.0,104787.0,314003.5,332393.791,6194.5,29722.0,69733.0,64668.913
3899,170311705001,0.6596355291,0,0,0,0,0,1607,1147,0,81,358,0,21,109,598,186,29,31,894.0,443.0,1,1,1,74,45123.5,41306.5,1.0924067640000001,0.7137523334999999,0.0,0.0504044804,0.22277535780000002,0.0,0.01306782825,0.643,2499.222395,2669.4526370000003,21,12.666666666666664,12.666666666666664,8297.0,45123.5,156829.5,279049.29,3072.5,13309.5,42402.0,53766.972
3900,170311703002,0.0,0,0,0,0,0,1014,634,0,13,367,0,0,54,330,137,52,26,437.0,222.0,1,1,1,183,85176.0,75522.0,1.127830301,0.6252465482999999,0.0,0.012820512820000001,0.3619329389,0.0,0.0,0.163,6220.858896,0.0,16,16.458333333333332,16.458333333333332,23808.5,85176.0,311940.0,379479.25,8055.0,24321.5,73802.5,72725.378
3901,170311702002,0.0,0,0,0,0,2,1928,693,0,308,927,0,0,317,551,230,0,33,811.0,439.0,1,1,1,69,101131.5,82830.5,1.220945183,0.35943983399999996,0.0,0.1597510373,0.48080912859999997,0.0,0.0,0.24600000000000002,7837.398373999999,0.0,20,19.20833333333333,19.20833333333333,25623.5,101131.5,426424.0,406680.403,8071.5,28820.0,95335.5,77990.005
3902,170311613004,0.002426217196,0,0,0,0,0,1206,555,36,17,577,0,21,123,493,137,59,120,555.0,287.0,1,1,1,151,536454.0,489815.5,1.0952164640000002,0.460199005,0.02985074627,0.01409618574,0.4784411277,0.0,0.01741293532,0.16699999999999998,7221.556886,9.818561321,12,15.291666666666664,15.291666666666664,50579.5,536454.0,1184588.5,535407.753,14440.0,80802.5,212396.5,100517.651
3903,170630009005,0.01799115652,0,0,0,0,1,1149,1093,0,0,53,0,3,60,479,144,19,10,463.0,235.0,0,0,0,88,88.0,88.0,1.0,0.9512619669,0.0,0.0,0.04612706701,0.0,0.002610966057,42.271,27.18175581,72.80769166,49,0.0,0.0,0.0,88.0,325.0,227.532,0.0,49.0,115.0,75.986
3904,170630001022,0.4508577192,0,1,0,0,2,1698,1476,0,17,189,0,16,55,641,205,20,19,1097.0,536.0,0,0,0,1773,1883.0,1773.0,1.062041737,0.8692579505,0.0,0.010011778559999998,0.1113074205,0.0,0.009422850412,2.634,644.6469248,1824.5580699999998,549,0.0,0.0,1773.0,1883.0,3985.0,2961.867,549.0,601.0,988.0,703.747
3905,170630007002,0.05233554922,0,0,0,0,0,1048,1022,0,0,25,0,1,18,422,139,10,8,597.0,307.0,0,0,0,68,68.0,68.0,1.0,0.9751908397,0.0,0.0,0.023854961830000004,0.0,0.0009541984732999998,33.038000000000004,31.72104849,211.79464069999997,35,0.0,0.0,0.0,68.0,1201.0,361.23900000000003,0.0,35.0,84.0,38.289
3906,170318043062,0.0200801171,0,0,0,0,0,668,357,9,0,302,0,0,43,225,83,23,14,588.0,304.0,1,0,0,11,8252.0,8252.0,1.0,0.5344311377000001,0.01347305389,0.0,0.4520958084,0.0,0.0,0.365,1830.136986,81.26142270000001,5,0.0,0.0,1829.0,8252.0,20881.0,30917.347999999998,557.0,2765.0,6116.5,7846.47
3907,170630006001,0.0,0,0,0,0,1,895,803,0,0,92,0,0,134,377,144,19,3,459.0,231.0,0,0,0,93,1102.0,1102.0,1.0,0.8972067039,0.0,0.0,0.1027932961,0.0,0.0,109.05,8.207244382999999,0.0,23,0.0,0.0,1102.0,1102.0,1195.0,582.531,293.0,293.0,316.0,154.441
