bg_id,green_space,hospitals,pharmacies,urgent_care_facilities,education,groceries,pop_total,pop_white,pop_black,pop_asiapacific,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,hhld_total,hhld_total_w_chld,hhld_single_mother,hhld_nocar,workers_all,workers_essential,er,urban,equity,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,scores,faren,farey,ratio
170311105013,0,0,0,0,0,0,1767,811,19,346,591,0,0,139,593,128,14,33,864,433,1,1,0,505,59,320,126,24,217,264,0,0,0,3,0,2,2,1,0,0,472,5,0,0,0,18,0,0,2,0,255,227,1,13,0,9,393,112,86,107,149,104,270,235,0,0,0,0,0,0,0,0,0,0,14.083,283554,234927,1.206987703
170318367001,0.04832400463,1,0,0,0,1,1319,21,809,6,483,0,0,589,502,154,141,178,499,287,1,1,1,502,116,319,67,49,163,290,0,0,0,1,0,12,9,0,0,0,3,1,0,342,75,32,0,0,27,0,312,151,7,22,1,9,392,110,47,113,110,116,238,264,0,0,0,0,0,0,0,0,0,0,41.292,834035.5,706104,1.181179401
170318330002,0.117748319,0,2,1,0,1,1828,1054,342,81,204,0,147,192,909,138,0,250,1058,450,1,1,1,9314,3110,4919,1285,1546,2859,4909,0,0,0,467,1121,462,340,3,146,273,179,1115,15,1960,1642,399,82,797,312,1,6876,1794,59,412,9,164,7028,2286,1134,1555,1686,1829,4698,4616,0,0,0,0,0,0,0,0,0,0,41.417,953338.5,883971.5,1.078471987
170318370001,0.002073779725,0,0,0,0,1,970,21,854,0,48,0,47,542,481,141,121,247,426,248,1,1,1,306,66,165,75,49,158,99,0,0,0,32,2,0,4,0,0,0,1,0,0,0,0,265,0,2,0,0,102,191,5,3,0,5,261,45,33,66,84,57,77,229,0,0,0,0,0,0,0,0,0,0,24.875,840414.5,648849.5,1.295237956
170318236024,1.765796442,0,0,0,0,1,1211,1171,0,0,40,0,0,0,480,110,0,29,729,382,1,0,0,1393,225,875,293,200,389,804,0,0,0,1,0,0,57,4,0,20,18,6,0,16,1148,111,0,12,0,0,1146,213,6,15,1,12,1259,134,95,230,353,490,567,826,0,0,0,0,0,0,0,0,0,0,0.500,5685,4406,1.290285974
170318241223,0.2942559219,0,0,0,0,0,2411,1939,122,73,277,0,0,86,742,236,16,33,1061,535,1,0,0,21,2,13,6,10,6,5,0,0,0,5,0,3,2,0,0,0,0,2,0,1,0,2,5,0,1,0,20,0,0,1,0,0,21,0,3,5,4,7,12,9,0,0,0,0,0,0,0,0,0,0,0.000,16219,16219,1
170318258035,0,0,0,0,0,2,1277,0,1277,0,0,0,0,234,584,154,121,125,498,310,1,1,1,139,29,78,32,63,37,39,0,0,0,0,0,0,4,0,0,7,22,0,0,0,28,20,0,58,0,0,39,92,2,5,0,1,126,13,20,34,30,26,54,85,0,0,0,0,0,0,0,0,0,0,3.917,25023,15386,1.626348629
170318300071,0.3148449264,0,0,0,0,0,1298,358,877,3,51,0,9,260,397,204,87,30,529,294,1,0,1,136,34,70,32,51,26,59,0,0,0,0,0,0,16,0,0,7,0,1,0,8,73,0,0,31,0,0,59,71,0,5,0,1,128,8,16,20,27,39,50,86,0,0,0,0,0,0,0,0,0,0,0.000,5636,4552,1.238137083
170318300072,0.08816266225,0,0,0,0,0,2395,99,2250,0,46,0,0,459,841,338,280,63,865,491,1,0,1,430,114,218,98,130,168,132,0,0,0,0,0,0,6,0,0,6,0,0,0,67,123,201,0,27,0,0,133,273,0,22,0,2,411,19,53,87,101,75,138,292,0,0,0,0,0,0,0,0,0,0,0.000,2323,1487,1.562205783
170318045063,0.05923869786,0,1,0,0,2,2430,1516,17,471,304,11,111,28,886,232,0,39,1444,689,1,0,1,574,272,227,75,277,199,98,0,0,0,16,0,12,306,5,0,15,0,27,0,0,6,13,2,167,5,0,451,60,2,52,0,9,440,134,45,76,91,90,241,333,0,0,0,0,0,0,0,0,0,0,1.500,10713,7276,1.472374931
170310404014,0,0,0,0,0,0,941,694,83,17,128,0,19,0,416,91,0,65,548,254,1,1,1,36,5,20,11,0,10,26,0,0,0,0,0,14,2,0,7,1,1,6,0,0,0,5,0,0,0,0,36,0,0,0,0,0,31,5,0,9,14,8,19,17,0,0,0,0,0,0,0,0,0,0,23.875,280850,252057.5,1.114229888
170310505002,0,0,0,0,0,0,1874,1711,21,31,0,0,111,48,612,286,47,79,691,292,1,1,0,291,87,143,61,71,108,112,0,0,0,2,0,18,2,0,0,1,8,13,0,0,142,8,8,33,56,0,261,14,0,6,0,10,246,45,15,38,62,89,97,194,0,0,0,0,0,0,0,0,0,0,15.958,285897.5,259553.5,1.101497379
170310712002,0.1191693349,0,0,0,0,0,981,698,18,153,67,0,45,122,557,59,11,211,600,247,1,1,0,234,78,114,42,83,92,59,0,0,0,14,10,0,23,0,0,8,19,10,0,0,22,4,39,80,5,0,168,30,1,30,0,5,196,38,21,34,35,66,94,140,0,0,0,0,0,0,0,0,0,0,24.125,962583,800616,1.202302977
170311001002,0.0264149237,0,0,0,0,1,1933,1418,0,45,470,0,0,75,729,174,19,56,791,379,1,1,0,1259,318,687,254,299,749,211,0,0,0,17,4,34,29,0,0,74,4,33,0,744,10,275,18,10,7,0,801,179,8,249,4,18,844,415,223,212,238,268,585,674,0,0,0,0,0,0,0,0,0,0,8.667,137184,76729,1.787902879
170318331002,0.01723258859,0,2,0,0,2,1479,908,231,97,196,0,47,110,631,195,12,140,890,381,1,1,0,3640,1223,1758,659,1484,1034,1122,0,0,0,156,228,115,176,3,24,0,26,325,11,93,66,313,118,148,1838,0,2593,716,20,251,0,60,3031,609,366,579,714,758,1477,2163,0,0,0,0,0,0,0,0,0,0,27.708,973283,843122.5,1.154379109
170318429003,0.04403792162,0,1,0,0,1,1791,135,1614,0,42,0,0,977,673,310,287,405,486,281,1,1,1,593,85,364,144,54,130,409,0,0,0,0,0,0,37,0,0,0,0,0,0,0,42,513,1,0,0,0,367,117,2,98,0,9,456,137,54,80,151,223,248,345,0,0,0,0,0,0,0,0,0,0,18.917,807659,719587.5,1.122391648
170318416001,0,0,0,0,0,0,655,4,564,0,87,0,0,343,234,73,68,95,393,230,1,1,1,20,1,18,1,0,7,13,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,7,13,7,6,3,3,18,2,0,0,0,0,0,0,0,0,0,0,20.708,763647.5,709399,1.076471069
170318305003,0.04804570776,0,0,0,0,1,1805,9,0,0,1796,0,0,572,315,217,61,21,350,180,1,1,1,786,88,487,211,97,233,456,0,0,0,46,66,130,2,65,7,0,8,2,0,233,40,153,0,0,34,0,514,249,3,13,0,7,543,243,122,185,219,172,542,244,0,0,0,0,0,0,0,0,0,0,28.167,89023.5,85113,1.045944803
170318401002,0.002754632838,0,0,0,0,0,2160,520,0,1276,364,0,0,441,717,252,36,147,797,484,1,1,1,105,45,43,17,45,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,5,26,0,79,5,0,20,0,1,63,42,8,13,18,21,34,71,0,0,0,0,0,0,0,0,0,0,7.250,526861,420898.5,1.251753095
170318355001,0.0173939656,0,0,0,0,3,672,19,653,0,0,0,0,243,383,39,18,222,224,143,1,1,1,562,51,327,184,49,191,322,0,0,0,0,461,78,9,0,0,0,0,0,0,0,0,0,0,13,1,0,383,143,4,27,2,3,370,192,133,152,145,81,483,79,0,0,0,0,0,0,0,0,0,0,12.333,532597.5,442991.5,1.202274761
170318355002,0.09284011557,0,0,0,0,2,807,26,730,0,51,0,0,320,321,52,26,186,299,180,1,1,1,113,27,57,29,24,50,39,0,0,0,0,18,11,1,0,0,0,0,0,0,0,0,44,0,2,37,0,44,49,0,18,0,2,99,14,8,17,31,30,49,64,0,0,0,0,0,0,0,0,0,0,44.125,810962,708520.5,1.14458509
170318360003,0.07545871176,0,0,0,0,0,1093,14,1040,0,20,0,19,502,341,145,102,62,312,173,1,1,1,66,12,40,14,48,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,0,0,1,0,6,58,0,1,0,1,63,3,13,12,19,10,14,52,0,0,0,0,0,0,0,0,0,0,19.208,277590.5,274789,1.010195095
170318362001,0.5641745339,1,0,0,1,0,1604,1037,126,292,127,0,22,63,126,22,0,30,393,170,1,1,1,22212,3680,13922,4610,1162,3642,17408,0,0,0,0,4,2,31,0,7,25,0,13,3,6,12841,9092,24,151,13,0,13530,5249,50,2938,18,427,20471,1741,1475,3231,5056,8770,8513,13699,0,0,0,0,0,0,0,0,0,0,33.958,337577,138464,2.438012769
180890430012,0.03689283489,0,2,0,0,3,1899,1586,17,94,177,2,23,106,775,214,61,24,1177,583,1,0,0,2194,672,1080,442,768,713,713,0,0,10,230,230,46,520,22,47,78,39,156,25,66,2,143,14,361,205,0,1965,160,6,25,0,38,1987,207,176,494,539,313,1144,1050,0,0,0,0,0,0,0,0,0,0,0.000,12639,12639,1
180890425052,0,0,1,0,0,2,2253,1087,692,0,364,23,87,376,744,180,16,51,833,459,1,0,0,487,109,242,136,71,135,281,0,0,0,18,0,47,282,5,0,30,1,2,25,41,1,0,0,7,28,0,453,30,0,0,0,4,455,32,34,115,125,104,349,138,0,0,0,0,0,0,0,0,0,0,0.000,6018,5007,1.201917316
180890427021,0.009488095192,0,0,0,0,1,842,817,13,0,12,0,0,13,367,116,25,23,512,260,1,0,0,74,16,39,19,13,22,39,0,0,0,53,0,0,5,0,0,2,2,2,0,0,2,0,0,0,0,8,60,5,1,8,0,0,56,18,13,14,20,11,52,22,0,0,0,0,0,0,0,0,0,0,0.000,5580,3679,1.516716499
180890424023,0,0,0,0,0,2,1555,879,416,0,252,0,8,49,750,144,67,62,830,454,1,0,0,623,134,317,172,215,257,151,0,0,0,12,0,37,104,5,0,35,13,13,0,0,66,212,63,21,28,14,453,152,2,10,0,6,573,50,56,154,183,96,223,400,0,0,0,0,0,0,0,0,0,0,0.000,5617,5617,1
180890410013,0.002482586941,0,2,0,0,3,1143,471,356,34,282,0,0,233,640,137,122,60,846,455,1,0,0,199,67,93,39,125,52,22,0,0,0,17,0,0,41,2,0,4,0,0,0,81,0,0,0,53,1,0,124,66,2,6,0,1,182,17,26,42,42,22,113,86,0,0,0,0,0,0,0,0,0,0,0.000,5803,4517,1.284702236
180890105001,0.1093866212,0,0,0,0,0,959,28,881,0,25,6,19,513,350,137,99,119,279,164,1,0,0,1108,70,641,397,89,439,580,0,0,27,0,0,6,0,0,0,4,2,7,0,1,0,5,18,0,20,1018,280,804,6,4,0,14,1030,78,120,310,401,207,680,428,0,0,0,0,0,0,0,0,0,0,0.000,12834,4383,2.928131417
180890102011,0.75828695,0,1,0,0,1,886,230,565,0,48,0,43,167,410,80,14,85,357,210,1,0,0,311,35,170,106,54,88,169,0,0,0,114,0,0,4,0,3,0,4,23,0,0,102,36,0,17,8,0,179,124,1,3,0,4,294,17,24,89,99,64,169,142,0,0,0,0,0,0,0,0,0,0,0.000,1189,1186,1.002529511
180890116002,0,0,0,0,0,0,756,0,717,0,0,0,39,8,369,26,26,93,269,156,1,0,0,66,12,31,23,28,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,1,0,6,59,0,0,0,1,64,2,6,13,27,8,15,51,0,0,0,0,0,0,0,0,0,0,0.000,3356,1091,3.076076994
180890124005,0,0,0,0,0,1,1094,69,1025,0,0,0,0,117,337,117,54,61,355,206,1,0,0,256,27,169,60,43,88,125,0,0,0,146,0,0,16,0,0,0,0,0,0,0,0,84,0,0,10,0,181,67,2,3,0,3,217,39,31,80,79,39,157,99,0,0,0,0,0,0,0,0,0,0,0.000,4603,3096,1.486757106
180890210005,0.02756601883,0,0,0,0,4,1833,699,339,0,786,0,9,678,676,295,129,8,694,387,1,0,0,360,105,162,93,161,142,57,0,0,0,2,10,14,212,0,0,21,0,6,0,0,1,0,7,76,11,0,298,49,2,9,0,2,273,87,49,97,80,29,162,198,0,0,0,0,0,0,0,0,0,0,0.000,8316,4521,1.839416058
180890219001,0,0,0,0,0,0,1425,782,158,41,405,0,39,349,519,140,49,33,682,356,1,0,0,43,7,19,17,10,14,19,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,10,0,0,22,0,37,5,0,1,0,0,32,11,10,11,10,5,25,18,0,0,0,0,0,0,0,0,0,0,0.000,4039,2521,1.602142007
180890415001,0,0,0,0,0,3,1786,400,989,23,352,11,11,1014,664,259,170,108,727,417,1,0,0,116,22,61,33,59,36,21,0,0,0,10,1,0,17,1,0,6,26,0,0,0,0,0,14,41,0,0,53,59,0,3,0,1,112,4,18,31,34,11,69,47,0,0,0,0,0,0,0,0,0,0,0.000,2274,853,2.665885111
550590006024,0,0,0,0,0,0,1436,872,109,83,356,16,0,208,804,133,23,24,815,432,0,0,0,42,7,20,15,7,23,12,0,0,0,0,0,2,0,6,0,0,30,0,0,0,0,4,0,0,0,0,39,1,0,2,0,0,38,4,13,5,10,7,24,18,0,0,0,0,0,0,0,0,0,0,0.000,2095,899,2.330367075
550590006022,0.872321994,0,0,0,2,2,3331,2658,149,0,449,6,69,414,1309,366,137,39,1535,827,0,0,0,1176,188,674,314,382,263,531,0,0,0,9,0,0,48,0,0,3,11,1,0,0,855,209,0,0,40,0,1015,123,10,17,0,11,1093,83,75,228,311,374,389,787,0,0,0,0,0,0,0,0,0,0,0.000,5820,2515,2.314115308
550590006023,0,0,0,0,0,0,939,758,151,0,30,0,0,0,458,58,0,13,568,304,0,0,0,39,18,20,1,11,19,9,0,0,0,22,0,0,0,0,0,2,1,0,0,3,0,11,0,0,0,0,35,3,1,0,0,0,36,3,2,8,9,2,21,18,0,0,0,0,0,0,0,0,0,0,0.000,1760,871,2.020665901
170318343002,0.0006309269017,0,0,0,0,3,1049,0,1049,0,0,0,0,375,591,73,13,140,517,306,1,1,1,103,41,48,14,37,46,20,0,0,0,14,0,0,26,0,0,0,0,0,0,4,0,11,0,46,2,0,40,57,1,3,1,1,92,11,10,21,19,12,48,55,0,0,0,0,0,0,0,0,0,0,35.792,192987.5,162029.5,1.191063973
170314603024,0,0,0,0,0,1,1486,37,1431,0,18,0,0,786,439,171,152,142,368,219,1,1,1,30,11,13,6,13,9,8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,0,0,0,0,6,24,0,0,0,0,29,1,3,4,9,3,13,17,0,0,0,0,0,0,0,0,0,0,14.083,32772.5,32257,1.015981027
170318352001,0.02193883767,0,1,0,0,1,2020,583,0,79,1358,0,0,193,676,214,69,81,880,461,1,1,1,2672,611,1353,708,733,1206,733,0,0,0,13,90,0,78,33,0,27,136,63,0,1824,0,68,0,158,46,136,1766,757,16,86,1,46,2225,447,289,655,670,447,1801,871,0,0,0,0,0,0,0,0,0,0,32.792,291900.5,273258,1.068223071
170318438002,0.02987966858,0,0,0,0,3,700,0,676,0,24,0,0,184,314,65,9,91,314,190,1,1,1,7,2,4,1,4,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,2,7,0,1,1,2,1,4,3,0,0,0,0,0,0,0,0,0,0,23.167,422101.5,206512.5,2.043951335
170318346003,0.01396508964,0,0,0,0,0,442,0,442,0,0,0,0,283,161,39,39,82,103,58,1,1,1,190,49,102,39,26,76,88,0,0,0,0,23,0,4,0,0,0,0,0,0,0,120,31,0,12,0,0,30,147,0,10,0,3,172,18,13,34,55,39,100,90,0,0,0,0,0,0,0,0,0,0,36.917,743833,660270.5,1.126557979
170318044044,0.6007079267,0,1,0,0,3,1224,118,0,24,1082,0,0,47,395,179,0,6,520,275,1,0,1,220,46,121,53,64,101,55,0,0,0,3,0,0,72,1,0,0,0,0,0,0,0,133,8,3,0,0,180,16,5,17,0,2,167,53,17,53,64,40,71,149,0,0,0,0,0,0,0,0,0,0,2.792,10780.5,10780.5,1
170318241142,0.003017730085,0,0,0,0,0,1380,1271,39,0,18,0,52,52,490,207,14,4,790,374,1,0,0,211,27,96,88,59,87,65,0,0,0,7,0,0,0,0,0,88,2,7,0,0,107,0,0,0,0,0,193,14,0,2,0,2,184,27,11,48,55,70,55,156,0,0,0,0,0,0,0,0,0,0,0.000,10131.5,10131.5,1
170978642031,0,0,0,0,0,2,1626,1340,18,7,261,0,0,148,609,178,45,14,902,410,1,0,0,69,8,42,19,16,26,27,0,0,0,17,7,2,2,4,3,0,0,7,0,11,0,2,0,11,3,0,59,3,1,6,0,0,58,11,8,17,15,21,42,27,0,0,0,0,0,0,0,0,0,0,0.000,516,434,1.188940092
