,green_space,pharmacies,education,groceries,perc_pop_white,perc_pop_black,perc_pop_asiapacific,perc_pop_hispanic,perc_pop_indig,perc_pop_otherrace,perc_pop_poverty,perc_hhld_total_w_chld,perc_hhld_single_mother,perc_hhld_nocar,workers_all,urban,equity,C000,scores,disparity,pop_white,pop_black,pop_asiapacific,pop_hispanic,pop_indig,pop_otherrace,pop_poverty,hhld_total,hhld_total_w_chld,hhld_single_mother,hhld_nocar,workers_essential
2578,0.01769062871,0,0,0,0.8918918918918919,0.0,0.04864864864864865,0.020270270270270268,0.0,0.039189189189189184,0.04324324324324325,0.325,0.04642857142857143,0.017857142857142856,557.0,0,0,7,1.3330000000000002,0.9119486436115136,718,0,20,18,0,10,9,297,84,0,7,240.0
2579,0.0,0,0,0,0.9631391200951248,0.0,0.0,0.036860879904875146,0.0,0.0,0.09631391200951248,0.32753623188405795,0.0927536231884058,0.017391304347826087,366.0,0,0,10,0.0,0.456557734204793,268,119,8,787,0,8,467,355,127,54,45,203.0
2580,0.0,0,0,0,0.3493353028064993,0.2274741506646972,0.07902511078286559,0.31610044313146235,0.0,0.028064992614475627,0.16248153618906944,0.5618661257606491,0.2778904665314402,0.08113590263691682,392.0,0,1,121,24.542,0.5013093488613637,0,617,0,122,0,0,28,273,82,32,42,218.0
2581,0.0,0,0,0,0.13186813186813187,0.04266321913380737,0.004524886877828055,0.6360698125404007,0.0,0.18487394957983194,0.2223658694246929,0.7829181494661922,0.3629893238434164,0.028469750889679717,417.0,0,1,107,2.375,0.3109231152027868,98,940,7,55,0,72,617,371,229,177,37,226.0
2582,0.1072407716,0,0,0,0.42916666666666653,0.03083333333333333,0.11416666666666668,0.39416666666666667,0.0,0.03166666666666667,0.21666666666666667,0.415,0.0875,0.0525,1154.0,0,0,17,0.0,0.0,2266,22,97,623,0,22,42,1143,326,53,22,563.0
2583,0.007004978740000001,1,0,1,0.1576068376068376,0.11897435897435896,0.004102564102564103,0.6909401709401709,0.011623931623931624,0.016752136752136753,0.2307692307692308,0.4809160305343512,0.11323155216284987,0.11704834605597965,294.0,0,1,102,3.458,0.0,660,0,36,15,0,29,32,280,91,13,5,117.0
2584,0.0,0,0,0,0.5964630225080386,0.008842443729903537,0.0,0.3762057877813505,0.0,0.018488745980707398,0.10289389067524116,0.5104895104895105,0.09324009324009323,0.004662004662004662,547.0,0,0,10,0.0,0.130826134188609,810,0,0,31,0,0,81,345,113,32,6,263.0
2585,0.09638261672,0,0,0,0.8214285714285714,0.0,0.03951367781155015,0.13905775075987842,0.0,0.0,0.08890577507598785,0.3247422680412371,0.1855670103092784,0.05154639175257732,680.0,1,0,7,0.0,0.002497377753359009,473,308,107,428,0,38,220,493,277,137,40,355.0
2586,0.00015565122590000002,0,0,5,0.008389261744966443,0.8808724832214765,0.0,0.11073825503355704,0.0,0.0,0.2231543624161074,0.06343283582089553,0.06343283582089553,0.3656716417910448,596.0,1,1,281,24.458,0.021870522434195742,204,66,7,984,0,286,344,281,220,102,8,326.0
2587,0.01353892459,0,0,1,0.9103398409255242,0.0,0.02675343456254519,0.06290672451193059,0.0,0.0,0.022415039768618944,0.35497835497835495,0.09090909090909093,0.07142857142857142,659.0,0,0,79,3.833,0.5880906540910436,515,37,137,473,0,38,260,400,166,35,21,324.0
2588,0.04540465597,0,0,1,0.2979664014146773,0.07338638373121131,0.0,0.6056587091069849,0.0,0.02298850574712644,0.2519893899204244,0.3973684210526316,0.2,0.13421052631578947,1039.0,0,0,21,0.0,0.0,461,348,12,2021,34,49,675,786,378,89,92,549.0
2589,0.057330545210000014,1,0,0,0.8903107861060329,0.03747714808043876,0.0,0.07221206581352832,0.0,0.0,0.11517367458866545,0.4735294117647058,0.2147058823529412,0.005882352941176471,585.0,0,1,1448,0.0,0.482202447163515,742,11,0,468,0,23,128,429,219,40,2,287.0
2590,0.6215554271,0,0,0,0.7685581727337616,0.0472876516773733,0.06602426837972876,0.09867951463240544,0.0,0.019450392576730903,0.012491077801570306,0.6475195822454308,0.02284595300261097,0.007180156657963447,703.0,0,0,150,0.0,0.0,1081,0,52,183,0,0,117,582,189,108,30,355.0
2591,0.0,1,0,3,0.0060851926977687635,0.8471940500338067,0.0,0.12981744421906696,0.0,0.016903313049357674,0.17308992562542258,0.3897550111358575,0.18040089086859687,0.29175946547884185,273.0,1,1,157,24.0,0.027806739861887864,5,525,0,66,0,0,133,268,17,17,98,162.0
2592,2.281699997,1,0,0,0.7438370846730975,0.03822793854948196,0.00035727045373347617,0.20507324044301534,0.0,0.012504465880671669,0.08288674526616649,0.3773388773388773,0.0893970893970894,0.010395010395010396,619.0,0,0,587,0.0,0.0,1259,0,37,87,0,0,31,462,164,42,33,305.0
2593,0.4143889225,0,0,2,0.8198614318706697,0.010777521170130871,0.05234795996920708,0.1077752117013087,0.0,0.009237875288683604,0.11624326404926867,0.4054669703872437,0.02050113895216401,0.022779043280182237,328.0,0,0,1105,1.958,0.280160255099955,337,83,0,685,0,26,285,380,151,76,51,159.0
2594,0.07634880741000001,0,0,2,0.3081896551724138,0.315948275862069,0.06422413793103449,0.28879310344827586,0.0,0.022844827586206897,0.08060344827586206,0.4133697135061392,0.16780354706684858,0.009549795361527969,479.0,0,1,360,3.042,0.0,974,41,0,79,0,0,126,340,161,73,2,248.0
2595,0.4615289801,0,0,1,0.7814345991561181,0.0,0.04219409282700422,0.16540084388185655,0.0,0.010970464135021098,0.038818565400843885,0.3856041131105398,0.033419023136246784,0.0,2744.0,0,0,542,0.0,0.2631104093831059,4307,265,370,553,0,109,70,1532,992,35,11,1315.0
2596,0.686964835,0,0,1,0.7054161162483488,0.0488771466314399,0.0,0.21268163804491413,0.0,0.03302509907529723,0.0488771466314399,0.5060240963855421,0.06827309236947791,0.04417670682730924,442.0,0,0,1937,0.0,0.19505780777055529,9,1253,0,192,0,25,256,449,175,81,131,250.0
2597,0.0,0,0,2,0.023049645390070917,0.9769503546099292,0.0,0.0,0.0,0.0,0.2641843971631206,0.31343283582089554,0.19402985074626866,0.582089552238806,1402.0,1,1,39,31.083,0.06725184566191755,2082,107,1,574,0,35,232,962,363,86,10,666.0
2598,0.0016586616750000002,0,0,0,0.041176470588235294,0.8980392156862745,0.0,0.047712418300653585,0.0,0.013071895424836602,0.2137254901960784,0.28075253256150506,0.2011577424023155,0.3314037626628075,628.0,1,1,92,21.708,0.016459543093466644,1065,14,68,140,0,12,151,439,178,9,10,275.0
2599,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6501079913606912,0.3272727272727273,0.18787878787878787,0.2727272727272727,1263.0,1,1,0,16.417,0.11542587427590645,715,733,149,670,0,53,187,733,303,123,7,695.0
2600,0.003915631168,0,0,1,0.8162601626016259,0.003794037940379404,0.05528455284552845,0.061788617886178863,0.0,0.06287262872628728,0.12845528455284552,0.2645962732919255,0.006211180124223602,0.16770186335403728,689.0,1,1,317,36.292,0.1575342565142881,926,0,50,196,0,13,46,389,150,13,0,334.0
2601,0.0,0,0,1,0.16893732970027248,0.043596730245231606,0.019981834695731157,0.7674841053587648,0.0,0.0,0.16530426884650318,0.4053254437869823,0.08875739644970414,0.07100591715976333,305.0,1,0,272,4.458,0.5403279834551863,534,37,0,161,0,25,37,249,126,17,11,134.0
2602,0.04278031716,0,0,0,0.7735678845286423,0.009923319801533605,0.058186738836265225,0.15155615696887687,0.0,0.006765899864682003,0.03834009923319801,0.2349537037037037,0.037037037037037035,0.07060185185185185,180.0,0,0,240,1.3330000000000002,0.2467715942150317,13,551,0,0,0,0,149,201,63,39,117,102.0
2603,0.0,0,0,0,0.22622397298818234,0.06415306696679797,0.09060213843556557,0.6139561057962859,0.0,0.005064715813168261,0.13111986494091166,0.5512195121951221,0.006504065040650407,0.08943089430894309,582.0,0,1,191,3.667,0.3693572331885413,63,1374,0,73,0,20,327,691,194,139,229,328.0
2604,0.0,0,0,0,0.3633136094674556,0.0035502958579881646,0.01893491124260355,0.4911242603550296,0.0,0.12307692307692307,0.3431952662721893,0.1572769953051643,0.0,0.4917840375586854,190.0,1,0,20,18.167,0.04724682641490763,0,463,0,0,0,0,301,165,54,31,45,111.0
2605,0.348396994,0,0,1,0.7517831669044223,0.0,0.049928673323823114,0.0,0.0,0.19828815977175465,0.3295292439372325,0.4890829694323144,0.0,0.017467248908296942,861.0,0,0,27,0.0,0.0,1506,7,102,114,0,116,237,805,213,5,135,360.0
2606,0.0,1,0,2,0.6647058823529411,0.011764705882352941,0.1161764705882353,0.19558823529411765,0.0,0.011764705882352941,0.025,0.2656826568265683,0.025830258302583026,0.12546125461254612,468.0,1,0,167,6.375,0.665048514232662,186,48,22,845,0,0,182,338,137,30,24,262.0
2607,0.004456497284,0,0,0,0.9188900747065102,0.0,0.0512273212379936,0.029882604055496264,0.0,0.0,0.08751334044823908,0.07228915662650602,0.05163511187607573,0.0395869191049914,1172.0,0,0,32,0.0,0.0,1715,22,129,336,0,15,85,864,203,32,61,535.0
